,SPCD,DIA_cm,HT_m,STATUSCD,CBH_m,CROWN_RADIUS_m,X_m,Y_m
16665,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049014.523043129,2089578.2063389053
16666,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048997.4627171224,2089582.0820859408
16667,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049025.2846626623,2089578.8745729253
16668,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049011.72190202,2089615.885745451
16669,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049018.589395504,2089613.2264176528
16670,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049020.917417564,2089596.3025155943
16671,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048999.2896290796,2089583.231206188
16672,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049020.4520578384,2089579.8282811076
16673,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2049017.9325081168,2089581.3110301627
16674,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048998.8693792813,2089568.9375285571
16675,122,8.382,6.4008,1,4.8006,0.3310720907771454,-2048987.7135642287,2089586.801549704
16676,122,18.542,10.9728,1,2.7432,1.7026564668538908,-2048975.748013087,2089595.127066841
16677,122,23.622000000000003,18.5928,1,9.2964,1.9233711940386544,-2048987.7526846917,2089607.5339412796
16678,122,23.622000000000003,18.5928,1,9.2964,1.9233711940386544,-2049020.0893237945,2089577.8420248
16679,122,20.32,16.154400000000003,1,4.846320000000002,2.3395761081584943,-2048975.9741417656,2089595.7743316805
16680,122,19.812,13.4112,1,6.03504,1.52608468510608,-2048972.5817056068,2089589.7899700648
16681,122,59.944,31.0896,1,15.5448,3.2161288818351266,-2049004.966844104,2089578.239341903
16682,122,59.944,31.0896,1,15.5448,3.2161288818351266,-2048984.6100630024,2089567.075361183
16683,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2048976.416748164,2089603.528178081
16684,122,5.842,4.2672,1,2.1336,0.4414294543695272,-2049021.454285744,2089578.462554701
